user_id,item_id,rating
11239,8461,5
11239,1624,5
11239,2001,5
11239,603,5
5912,228,5
5912,21298,5
5912,2001,5
5912,4223,5
1200,21038,3
1200,29,5
1200,14363,5
1200,8556,5
1200,852,4
6263,257,5
6263,10009,5
6263,7286,5
6263,1535,5
6263,3418,5
3583,710,3
3583,12165,4
3583,20563,2
3062,3457,5
3062,260,4
3062,8043,3
3062,5049,5
3062,19924,2
3062,1114,5
3062,1925,4
3062,823,5
3062,4153,5
3062,25941,3
3062,5971,4
3062,6000,5
3062,2066,4
3062,1558,4
3062,2983,5
3516,6664,5
3516,904,5
3516,1932,5
3516,765,5
3516,13452,1
3516,8538,5
11357,79,5
11357,24798,5
11357,6386,5
11357,16099,5
11357,258,5
11357,14229,5
11357,878,5
6691,29,5
6691,5488,4
6691,1571,4
6691,48,5
6691,3537,4
6691,8798,2
6691,15737,4
7384,12946,4
7384,13357,4
7384,10054,3
7384,24663,5
7384,24974,4
7384,26766,5
9732,1761,5
9732,7430,5
9732,7378,5
9732,1002,5
9732,6964,5
9732,792,5
9732,1024,5
9732,17326,5
9732,10758,4
9732,20143,5
9732,14187,5
9732,6867,5
2,6998,5
2,75,5
2,7806,5
2,20667,5
2,4680,5
1299,5845,5
1299,2310,5
7947,6496,3
7947,431,5
7947,3123,5
7947,19216,4
7947,6415,1
7947,3944,4
1045,2989,5
1045,1965,5
1045,3079,5
1045,23996,5
1045,7263,5
1045,6455,5
1045,1288,5
1045,23033,5
1045,870,5
1045,6933,5
1045,19660,4
1045,12932,5
1045,2241,5
1045,20126,5
1045,12707,5
1045,455,5
7174,25327,5
7174,14039,5
7174,7513,5
7174,2441,5
2453,25751,5
2453,3551,5
2453,7205,5
2453,1574,5
8895,3547,2
8895,2667,4
8895,25345,2
8895,5,3
8895,234,5
8895,1128,4
8895,14458,4
8895,227,5
8895,1702,4
8895,4486,5
8895,5901,3
6819,10358,4
6819,13964,5
6819,1813,5
6819,6179,5
6819,16829,5
6819,504,5
6819,8690,1
4942,16620,5
4942,20095,2
4942,12023,2
3705,10662,4
3705,2126,5
3705,8237,5
3705,14432,5
3705,3422,3
3705,15352,5
3705,2843,5
3705,852,1
3705,1410,5
3705,2978,1
3705,2028,5
3705,1331,5
3705,227,4
3705,5980,5
3705,2857,3
3705,15388,5
3705,13475,5
3705,3819,4
3705,3820,5
3705,212,4
3705,23047,5
3705,588,4
3705,17772,5
3705,9490,5
3705,579,5
3705,3072,5
3705,12046,4
3705,15389,5
3705,4032,5
3705,14787,5
3705,5949,4
3705,744,5
3705,22698,3
7227,1932,2
7227,210,5
5383,5919,5
5383,26189,3
5383,227,5
6264,159,4
6264,1591,5
6264,6660,5
6264,4278,5
6264,8234,5
8916,2055,5
8916,744,5
8916,7647,5
8916,3341,5
8916,5059,5
3776,8253,5
3776,3796,5
3776,8555,5
3776,159,4
3776,5352,5
5600,12275,5
5600,6411,5
5600,21218,5
5600,1845,5
5600,3108,5
5600,1415,5
5600,7933,5
5600,574,5
5600,16144,5
5600,3283,5
5600,1335,5
5600,3955,5
5600,7591,5
5600,5857,5
5600,2645,5
5600,1310,5
5600,3814,5
5600,20088,5
5600,8145,5
5600,9367,5
5600,11790,5
5600,1139,5
5600,1288,5
7657,159,4
7657,1033,5
7657,24228,4
7657,227,5
3564,227,5
3564,26498,5
3564,4605,5
3564,358,5
3564,159,5
3564,1107,5
3564,973,3
3564,4045,5
326,15216,5
326,1608,5
326,10891,5
326,159,5
326,18236,5
326,6090,5
2851,5780,5
2851,227,5
2851,16052,5
2851,18021,1
10350,14246,4
10350,8780,5
10350,28100,5
5416,159,5
5416,8928,4
5416,1075,5
5416,828,2
5416,4010,5
5416,14319,5
5793,159,3
5793,5780,4
5793,227,4
5793,14567,5
5793,9418,5
5793,22699,5
5777,66,3
5777,18959,4
5777,23583,4
3483,7292,4
3483,1102,4
3483,783,5
7899,75,5
7899,10126,5
7899,25808,5
7899,5542,3
7899,58,4
6190,3075,3
6190,10258,5
6190,598,5
6190,9219,5
1055,2095,5
1055,102,5
1055,3618,5
1055,1511,5
3361,21564,3
3361,12205,5
3361,12069,4
3361,2016,5
10095,17118,5
10095,6455,5
10095,24945,3
10095,5008,5
10095,3623,4
1478,4017,5
1478,8071,5
1478,6345,5
1478,15636,5
1623,13262,4
1623,1926,5
1623,12677,5
1623,265,3
5937,25081,5
5937,17217,2
5937,17336,5
5937,4756,5
10393,12654,5
10393,16714,5
10393,6326,5
5926,10989,4
5926,4124,5
5926,12111,4
5926,12753,2
5926,1796,5
5926,5971,5
5926,546,3
5926,3443,5
5926,4868,5
6364,9279,1
6364,6329,5
6364,1644,3
6364,16380,4
6364,1520,5
6364,27093,4
6364,6807,5
6364,852,4
6364,20598,5
6364,6530,5
6364,5886,3
6364,11213,2
6364,679,5
6364,7506,5
6364,5832,5
6364,7799,4
6364,1925,5
6364,16026,5
6364,28347,5
11313,10493,5
11313,4991,5
11313,2729,4
11313,1157,5
11313,18679,4
11313,21175,5
11313,7844,5
11313,3588,5
11313,5793,5
8962,3327,5
8962,12797,5
10887,25071,5
10887,18405,5
10887,645,5
10887,10168,5
7104,4823,3
7104,5682,5
7104,10210,5
7104,7217,5
6253,9192,5
6253,2509,5
6253,413,4
6922,18928,5
6922,26915,5
6922,6107,5
3951,10340,5
3951,3214,5
3951,4661,5
3951,952,5
3951,6283,5
3951,2288,5
3951,6347,5
3951,19291,5
3951,1029,5
2594,10419,5
2594,24437,4
2594,1289,5
2594,6132,5
2594,5396,5
2594,22173,5
534,294,3
534,8754,5
534,230,5
534,7952,5
7054,3274,5
7054,6107,5
4434,269,5
4434,504,5
4434,9476,5
4434,665,5
8816,27972,5
8816,17225,1
8816,24492,4
3676,19356,5
3676,5835,5
3676,3162,5
3676,808,5
3676,12407,4
2531,2514,5
2531,9275,5
2531,1563,5
2531,463,5
5688,237,5
5688,26774,5
5688,1861,5
5688,1075,5
5688,12408,4
5688,2516,3
5688,8424,5
5688,2238,4
5688,12311,5
5688,2628,5
5688,4697,5
5688,13,5
5688,1768,5
5688,10364,5
5688,3745,5
5688,2144,5
9943,2227,5
9943,301,5
9943,3608,1
9943,749,5
9943,12324,5
9943,4359,1
2640,18653,1
2640,1128,3
2640,1930,1
2640,2973,4
2640,24276,5
8997,1333,5
8997,6838,5
8997,137,5
8997,178,5
8997,18483,5
8997,603,5
8997,15226,4
8997,677,5
8997,6020,3
8997,21991,5
8997,8504,4
3832,27744,5
3832,422,4
10465,5224,5
10465,18382,5
10465,2238,5
5272,22329,3
5272,12523,1
5272,7074,5
5272,17706,1
5272,23438,4
5272,597,5
5272,10538,5
5272,5351,5
5272,18169,4
5272,2004,5
4739,378,5
4739,14868,2
4739,749,5
4739,14509,4
4739,6037,5
2832,18932,5
2832,4169,3
2832,1558,5
2832,5383,2
